ingredient name,ttd id,gene symbol
Baicalein,D00YEV,KDM4E
Baicalein,D00YEV,XDH
Baicalein,D00YEV,ALOX15
Baicalein,D00YEV,CDK1
Baicalein,D00YEV,ALOX12
Baicalein,D00YEV,GRK6
Baicalein,D00YEV,CYP19A1
Baicalein,D00YEV,CA7
Baicalein,D00YEV,CA12
Baicalein,D00YEV,CA4
Baicalein,D00YEV,ABCB1
Baicalein,D00YEV,CYP1B1
Baicalein,D00YEV,HSD17B1
Baicalein,D00YEV,AKR1B1
Baicalein,D00YEV,CDK5R1
Baicalein,D00YEV,CA2
Baicalein,D00YEV,CCNB3
Baicalein,D00YEV,CDK6
Baicalein,D00YEV,CA1
Baicalein,D00YEV,CA9
Baicalein,D00YEV,ABCG2
Baicalein,D00YEV,CBR1
Baicalein,D00YEV,ESR2
Baicalein,D00YEV,ESR1
Baicalein,D00YEV,ACHE
Baicalein,D00YEV,ADORA1
Baicalein,D00YEV,ADORA2A
Baicalein,D00YEV,PTGS2
Baicalein,D00YEV,PTPRS
Baicalein,D00YEV,AMY1A
Baicalein,D00YEV,FLT3
Baicalein,D00YEV,IKBKB
Baicalein,D00YEV,NTRK2
Baicalein,D00YEV,AR
Baicalein,D00YEV,NOX4
Baicalein,D00YEV,MAOA
Baicalein,D00YEV,SYK
Baicalein,D00YEV,GSK3B
Baicalein,D00YEV,ABCC1
Baicalein,D00YEV,TTR
Baicalein,D00YEV,CSNK2A1
Baicalein,D00YEV,CFTR
Baicalein,D00YEV,AKR1B10
Baicalein,D00YEV,TNKS2
Baicalein,D00YEV,TNKS
Baicalein,D00YEV,HSD17B2
Baicalein,D00YEV,BCHE
Baicalein,D00YEV,ADORA3
Baicalein,D00YEV,TERT
Baicalein,D00YEV,LCK
Baicalein,D00YEV,PFKFB3
Baicalein,D00YEV,PIM1
Baicalein,D00YEV,PARP1
Baicalein,D00YEV,ALOX5
Baicalein,D00YEV,APP
Baicalein,D00YEV,CALM1
Baicalein,D00YEV,ARG1
Baicalein,D00YEV,NOS2
Baicalein,D00YEV,GLO1
Baicalein,D00YEV,MMP9
Baicalein,D00YEV,MMP2
Baicalein,D00YEV,MMP12
Baicalein,D00YEV,CD38
Baicalein,D00YEV,TOP1
Baicalein,D00YEV,NAE1
Baicalein,D00YEV,EGFR
Baicalein,D00YEV,SRC
Baicalein,D00YEV,TYR
Baicalein,D00YEV,AHR
Baicalein,D00YEV,ESRRA
Baicalein,D00YEV,KIT
Baicalein,D00YEV,OPRD1
Baicalein,D00YEV,CYP1A1
Baicalein,D00YEV,AURKB
Baicalein,D00YEV,PIK3CG
Baicalein,D00YEV,MAPT
Baicalein,D00YEV,TOP2A
Baicalein,D00YEV,INSR
Baicalein,D00YEV,MYLK
Baicalein,D00YEV,APEX1
Baicalein,D00YEV,IGF1R
Baicalein,D00YEV,KDR
Baicalein,D00YEV,PLK1
Baicalein,D00YEV,MET
Baicalein,D00YEV,ALK
Baicalein,D00YEV,AXL
Baicalein,D00YEV,PTPN1
Baicalein,D00YEV,ST6GAL1
Baicalein,D00YEV,SLC22A12
Baicalein,D00YEV,GPR35
Baicalein,D00YEV,FYN
Baicalein,D00YEV,TACR2
Baicalein,D00YEV,PRKDC
Baicalein,D00YEV,MAPK3
Baicalein,D00YEV,BACE1
Baicalein,D00YEV,SIRT1
Baicalein,D00YEV,PLA2G2A
Baicalein,D00YEV,PLA2G4A
Baicalein,D00YEV,CA6
Baicalein,D00YEV,CDK2
Baicalein,D00YEV,CDK5
Baicalein,D00YEV,CDK1
Baicalein,D00YEV,CCNB1
Baicalein,D00YEV,CCNB2
Baicalein,D00YEV,ALOX15
Baicalein,D00YEV,AHR
Baicalein,D00YEV,BAX
Baicalein,D00YEV,NOX5
Baicalein,D00YEV,NFATC1
Baicalein,D00YEV,RELA
Baicalein,D00YEV,FOSL1
Baicalein,D00YEV,FOSL2
Baicalein,D00YEV,CYCS
Baicalein,D00YEV,CASP3
Baicalein,D00YEV,MPO
Baicalein,D00YEV,VEGFA
Baicalein,D00YEV,ALOX12
Baicalein,D00YEV,SRC
Baicalein,D00YEV,MMP9
Baicalein,D00YEV,FOS
Baicalein,D00YEV,AKT1
Baicalein,D00YEV,PTGS2
Baicalein,D00YEV,IGF2
Baicalein,D00YEV,FABP5
Baicalein,D00YEV,APOD
Baicalein,D00YEV,HIF1A
Baicalein,D00YEV,EGLN1
Baicalein,D00YEV,NOS2
Baicalein,D00YEV,BCL2
Baicalein,D00YEV,TP53
Baicalein,D00YEV,CDK1
Baicalein,D00YEV,CCNB1
Baicalein,D00YEV,TYR
Baicalein,D00YEV,MMP2
Baicalein,D00YEV,NR1I3
Baicalein,D00YEV,MAPK1
Baicalein,D00YEV,TGFBR1
Baicalein,D00YEV,ABCB1
Baicalein,D00YEV,ESR1
Baicalein,D00YEV,PIK3CB
Baicalein,D00YEV,PIK3CG
Baicalein,D00YEV,PIK3CD
Baicalein,D00YEV,NFE2L2
Baicalein,D00YEV,HMOX1
Baicalein,D00YEV,GUSB
Baicalein,D00YEV,EGFR
Baicalein,D00YEV,JUN
Baicalein,D00YEV,CYP3A4
Baicalein,D00YEV,CXADR
Baicalein,D00YEV,AR
Baicalein,D00YEV,CAV1
Baicalein,D00YEV,MTOR
Baicalein,D00YEV,LY96
Baicalein,D00YEV,CRTC1
Baicalein,D00YEV,GAA
Baicalein,D00YEV,COMT
Baicalein,D00YEV,MAOB
Baicalin,D08PUW,AKR1B1
Baicalin,D08PUW,ADORA1
Baicalin,D08PUW,TNF
Baicalin,D08PUW,IL2
Baicalin,D08PUW,XDH
Baicalin,D08PUW,RPS6KA3
Baicalin,D08PUW,EGFR
Baicalin,D08PUW,ACHE
Baicalin,D08PUW,NQO2
Baicalin,D08PUW,NMUR2
Baicalin,D08PUW,ADRA2A
Baicalin,D08PUW,ADRA2C
Baicalin,D08PUW,NOX4
Baicalin,D08PUW,ALDH2
Baicalin,D08PUW,NOD2
Baicalin,D08PUW,WNT1
Baicalin,D08PUW,TLR4
Baicalin,D08PUW,TLR2
Baicalin,D08PUW,IL6
Baicalin,D08PUW,IL17A
Baicalin,D08PUW,FOXP3
Baicalin,D08PUW,NR3C1
Baicalin,D08PUW,ALOX5
Baicalin,D08PUW,FABP1
Baicalin,D08PUW,MEG3
Baicalin,D08PUW,GUSB
Baicalin,D08PUW,MMP9
Baicalin,D08PUW,NFE2L2
Baicalin,D08PUW,BDNF
Baicalin,D08PUW,CYP1A2
Baicalin,D08PUW,FN1
Baicalin,D08PUW,CYP3A
Baicalin,D08PUW,SMAD2
Baicalin,D08PUW,SMAD3
Baicalin,D08PUW,CASP3
Baicalin,D08PUW,PPARG
Baicalin,D08PUW,TNFRSF11B
Baicalin,D08PUW,JAK2
Baicalin,D08PUW,TJP1
Baicalin,D08PUW,TYR
Baicalin,D08PUW,SCNN1A
Baicalin,D08PUW,APPL2
Baicalin,D08PUW,SOST
Baicalin,D08PUW,ADORA2A
Chrysin,D01UYI,AKR1B1
Chrysin,D01UYI,CDK5R1
Chrysin,D01UYI,XDH
Chrysin,D01UYI,CYP19A1
Chrysin,D01UYI,CA2
Chrysin,D01UYI,CCNB3
Chrysin,D01UYI,CA7
Chrysin,D01UYI,CDK6
Chrysin,D01UYI,CA1
Chrysin,D01UYI,CA12
Chrysin,D01UYI,CA9
Chrysin,D01UYI,CA4
Chrysin,D01UYI,ABCB1
Chrysin,D01UYI,CYP1B1
Chrysin,D01UYI,ABCG2
Chrysin,D01UYI,CBR1
Chrysin,D01UYI,TNKS2
Chrysin,D01UYI,TNKS
Chrysin,D01UYI,ALOX15
Chrysin,D01UYI,ALOX12
Chrysin,D01UYI,ESR1
Chrysin,D01UYI,ESR2
Chrysin,D01UYI,HSD17B1
Chrysin,D01UYI,ACHE
Chrysin,D01UYI,ADORA1
Chrysin,D01UYI,ADORA2A
Chrysin,D01UYI,PARP1
Chrysin,D01UYI,KDM4E
Chrysin,D01UYI,CDK1
Chrysin,D01UYI,GRK6
Chrysin,D01UYI,CSNK2A1
Chrysin,D01UYI,NOX4
Chrysin,D01UYI,MAOA
Chrysin,D01UYI,FLT3
Chrysin,D01UYI,PTGS2
Chrysin,D01UYI,SYK
Chrysin,D01UYI,GSK3B
Chrysin,D01UYI,ABCC1
Chrysin,D01UYI,TTR
Chrysin,D01UYI,CFTR
Chrysin,D01UYI,AKR1B10
Chrysin,D01UYI,LCK
Chrysin,D01UYI,IKBKB
Chrysin,D01UYI,NTRK2
Chrysin,D01UYI,BCHE
Chrysin,D01UYI,ADORA3
Chrysin,D01UYI,ALOX5
Chrysin,D01UYI,PIM1
Chrysin,D01UYI,PTPRS
Chrysin,D01UYI,EGFR
Chrysin,D01UYI,HSD17B2
Chrysin,D01UYI,AR
Chrysin,D01UYI,AMY1A
Chrysin,D01UYI,APP
Chrysin,D01UYI,NAE1
Chrysin,D01UYI,ARG1
Chrysin,D01UYI,PFKFB3
Chrysin,D01UYI,CALM1
Chrysin,D01UYI,GLO1
Chrysin,D01UYI,MMP9
Chrysin,D01UYI,MMP2
Chrysin,D01UYI,MMP12
Chrysin,D01UYI,CD38
Chrysin,D01UYI,TOP1
Chrysin,D01UYI,TERT
Chrysin,D01UYI,AURKB
Chrysin,D01UYI,CYP1A1
Chrysin,D01UYI,ESRRA
Chrysin,D01UYI,TYR
Chrysin,D01UYI,AHR
Chrysin,D01UYI,SLC22A12
Chrysin,D01UYI,PRKDC
Chrysin,D01UYI,ST6GAL1
Chrysin,D01UYI,PIK3CG
Chrysin,D01UYI,MAPT
Chrysin,D01UYI,TOP2A
Chrysin,D01UYI,INSR
Chrysin,D01UYI,MYLK
Chrysin,D01UYI,APEX1
Chrysin,D01UYI,MET
Chrysin,D01UYI,OPRD1
Chrysin,D01UYI,TBXAS1
Chrysin,D01UYI,KIT
Chrysin,D01UYI,MAOB
Chrysin,D01UYI,PTPN1
Chrysin,D01UYI,NOS2
Chrysin,D01UYI,PLA2G2A
Chrysin,D01UYI,PLA2G4A
Chrysin,D01UYI,IGF1R
Chrysin,D01UYI,KDR
Chrysin,D01UYI,PLK1
Chrysin,D01UYI,ALK
Chrysin,D01UYI,AXL
Chrysin,D01UYI,PDE5A
Chrysin,D01UYI,SRC
Chrysin,D01UYI,PLG
Chrysin,D01UYI,F2
Chrysin,D01UYI,SIGMAR1
Chrysin,D01UYI,CYP1A2
Chrysin,D01UYI,GPR35
Chrysin,D01UYI,CDK5
Chrysin,D01UYI,CDK1
Chrysin,D01UYI,CCNB1
Chrysin,D01UYI,CCNB2
Chrysin,D01UYI,CDKN1A
Chrysin,D01UYI,PTGS2
Chrysin,D01UYI,TGFB1
Chrysin,D01UYI,CYP19A1
Chrysin,D01UYI,ABCC2
Chrysin,D01UYI,PGP
Chrysin,D01UYI,ABCG2
Chrysin,D01UYI,CDK9
Chrysin,D01UYI,IL13
Chrysin,D01UYI,IL4
Chrysin,D01UYI,TBK1
Chrysin,D01UYI,NOTCH1
Chrysin,D01UYI,GYPB
Chrysin,D01UYI,NFE2L2
Chrysin,D01UYI,MUC5AC
Chrysin,D01UYI,NFKB1
Chrysin,D01UYI,PKB_RS07820
Chrysin,D01UYI,ACTA2
Chrysin,D01UYI,EIF6
Chrysin,D01UYI,CASP3
Chrysin,D01UYI,PTPN13
Chrysin,D01UYI,PPARG
Chrysin,D01UYI,VEGFA
Chrysin,D01UYI,CASP9
Chrysin,D01UYI,JUN
Chrysin,D01UYI,MAPK8
Chrysin,D01UYI,MAPK9
Chrysin,D01UYI,PRKAA1
Chrysin,D01UYI,HDAC8
Chrysin,D01UYI,HDAC9
Chrysin,D01UYI,CLDN1
Chrysin,D01UYI,CLDN11
Chrysin,D01UYI,AKT1
Chrysin,D01UYI,CYP1A2
Chrysin,D01UYI,TNFAIP3
Coniferin,,ADORA2A
Coniferin,,ADORA1
Coniferin,,ADORA3
Coniferin,,SLC5A2
Emodin,D0U7OU,ESR1
Emodin,D0U7OU,PIM1
Emodin,D0U7OU,ESR2
Emodin,D0U7OU,CSNK2A1
Emodin,D0U7OU,PTP4A3
Emodin,D0U7OU,ELANE
Emodin,D0U7OU,FNTA
Emodin,D0U7OU,MCL1
Emodin,D0U7OU,BCL2
Emodin,D0U7OU,FTO
Emodin,D0U7OU,LIMK1
Emodin,D0U7OU,LCK
Emodin,D0U7OU,CYP19A1
Emodin,D0U7OU,ABCB1
Emodin,D0U7OU,BCHE
Emodin,D0U7OU,XDH
Emodin,D0U7OU,ADORA3
Emodin,D0U7OU,CYP1B1
Emodin,D0U7OU,AURKB
Emodin,D0U7OU,KDR
Emodin,D0U7OU,PLK1
Emodin,D0U7OU,MET
Emodin,D0U7OU,AXL
Emodin,D0U7OU,EGFR
Emodin,D0U7OU,FASN
Emodin,D0U7OU,PARP1
Emodin,D0U7OU,TNKS2
Emodin,D0U7OU,TNKS
Emodin,D0U7OU,CRHR1
Emodin,D0U7OU,DRD3
Emodin,D0U7OU,AKR1B1
Emodin,D0U7OU,CDK5R1
Emodin,D0U7OU,CCNB3
Emodin,D0U7OU,CDK6
Emodin,D0U7OU,ABCG2
Emodin,D0U7OU,CBR1
Emodin,D0U7OU,TBXAS1
Emodin,D0U7OU,MGAM
Emodin,D0U7OU,HTR2C
Emodin,D0U7OU,ESRRA
Emodin,D0U7OU,ESRRB
Emodin,D0U7OU,LDHA
Emodin,D0U7OU,LDHB
Emodin,D0U7OU,NOX4
Emodin,D0U7OU,FLT3
Emodin,D0U7OU,SYK
Emodin,D0U7OU,GSK3B
Emodin,D0U7OU,ABCC1
Emodin,D0U7OU,TTR
Emodin,D0U7OU,CFTR
Emodin,D0U7OU,AKR1B10
Emodin,D0U7OU,FNTB
Emodin,D0U7OU,CDK5
Emodin,D0U7OU,CDK1
Emodin,D0U7OU,CCNB1
Emodin,D0U7OU,CCNB2
Emodin,D0U7OU,BCL2
Emodin,D0U7OU,KDR
Emodin,D0U7OU,FLT4
Emodin,D0U7OU,FLT1
Emodin,D0U7OU,KIT
Emodin,D0U7OU,CASP3
Emodin,D0U7OU,CYP1A1
Emodin,D0U7OU,CSF2
Emodin,D0U7OU,MMP9
Emodin,D0U7OU,PPARG
Emodin,D0U7OU,SLC2A1
Emodin,D0U7OU,SLC2A4
Emodin,D0U7OU,MMP1
Emodin,D0U7OU,EGF
Emodin,D0U7OU,TGFB1
Emodin,D0U7OU,TNF
Emodin,D0U7OU,IL1B
Emodin,D0U7OU,NOS2
Emodin,D0U7OU,ESR1
Emodin,D0U7OU,MAOB
Emodin,D0U7OU,TP53
Emodin,D0U7OU,MYC
Emodin,D0U7OU,HSD11B1
Emodin,D0U7OU,BTK
Emodin,D0U7OU,SMAD3
Emodin,D0U7OU,SIRT1
Emodin,D0U7OU,NFKB1
Emodin,D0U7OU,CLDN5
Emodin,D0U7OU,AQP5
Emodin,D0U7OU,FASLG
Emodin,D0U7OU,MIR145
Emodin,D0U7OU,EGR1
Emodin,D0U7OU,AKT1
Emodin,D0U7OU,TLR4
Emodin,D0U7OU,MAPK3
Emodin,D0U7OU,MAPK1
Emodin,D0U7OU,PRKAA1
Emodin,D0U7OU,ABCB1
Emodin,D0U7OU,STAT3
Emodin,D0U7OU,AQP1
Emodin,D0U7OU,HSP90AA1
Emodin,D0U7OU,HSPA5
Emodin,D0U7OU,IFNA1
Emodin,D0U7OU,IFNA13
Emodin,D0U7OU,CTNNB1
Emodin,D0U7OU,AR
Emodin,D0U7OU,OCLN
Emodin,D0U7OU,HIF1A
Emodin,D0U7OU,ABCB11
Emodin,D0U7OU,CSNK2A2
Emodin,D0U7OU,TGFB2
Emodin,D0U7OU,FOXD3
Emodin,D0U7OU,PTP4A3
Emodin,D0U7OU,BAX
Emodin,D0U7OU,PGAM1
Emodin,D0U7OU,FXR1
Emodin,D0U7OU,DDIT3
Emodin,D0U7OU,TNFSF10
Geniposide,,ADORA1
Geniposide,,ADORA2A
Geniposide,,CA2
Geniposide,,CA1
Geniposide,,CA12
Geniposide,,CA9
Geniposide,,ADORA3
Geniposide,,CA14
Geniposide,,LGALS3
Geniposide,,LGALS9
Geniposide,,EPHX2
Geniposide,,TYR
Geniposide,,FUCA1
Geniposide,,SLC29A1
Geniposide,,SLC5A2
Geniposide,,ADORA2B
Geniposide,,ADK
Geniposide,,SLC5A1
Geniposide,,CA7
Geniposide,,CA13
Geniposide,,HK2
Geniposide,,HK1
Geniposide,,OGA
Geniposide,,ADA
Geniposide,,GBA
Geniposide,,TYMP
Geniposide,,LGALS4
Geniposide,,LGALS8
Geniposide,,AKR1C3
Geniposide,,AKR1B1
Geniposide,,HRAS
Geniposide,,ATIC
Geniposide,,CA6
Geniposide,,ALOX12
Geniposide,,CA4
Geniposide,,CA5A
Geniposide,,MMP13
Geniposide,,MMP1
Geniposide,,MMP7
Geniposide,,MMP12
Geniposide,,MMP8
Geniposide,,MMP2
Geniposide,,EIF4H
Geniposide,,PABPC1
Geniposide,,MAG
Geniposide,,SLC5A4
Geniposide,,EGFR
Geniposide,,PNP
Geniposide,,HSP90AA1
Geniposide,,GAPDH
Geniposide,,FOLH1
Geniposide,,PYGL
Geniposide,,LGALS7
Geniposide,,MGAM
Geniposide,,PLA2G1B
Geniposide,,GAP43
Geniposide,,BCL2
Geniposide,,GLP1R
Geniposide,,HMOX1
Geniposide,,GSTM2
Geniposide,,GSTM1
Geniposide,,WNT1
Geniposide,,VIM
Geniposide,,CDH1
Geniposide,,GSK3B
Geniposide,,MTOR
Geniposide,,IDE
Geniposide,,TCF7L2
Geniposide,,TGFB1
Geniposide,,NFKB1
Geniposidic acid,,ADORA1
Geniposidic acid,,SELP
Hesperidin,D0I9HF,CYP19A1
Hesperidin,D0I9HF,SRD5A1
Hesperidin,D0I9HF,SLC5A4
Hesperidin,D0I9HF,SLC5A1
Hesperidin,D0I9HF,SLC5A2
Hesperidin,D0I9HF,SLC28A3
Hesperidin,D0I9HF,CA12
Hesperidin,D0I9HF,TYR
Hesperidin,D0I9HF,CYP1B1
Hesperidin,D0I9HF,CA2
Hesperidin,D0I9HF,CA1
Hesperidin,D0I9HF,EPHX2
Hesperidin,D0I9HF,CA3
Hesperidin,D0I9HF,CA6
Hesperidin,D0I9HF,CA13
Hesperidin,D0I9HF,CA5B
Hesperidin,D0I9HF,ABCB1
Hesperidin,D0I9HF,ADORA1
Hesperidin,D0I9HF,ADORA2A
Hesperidin,D0I9HF,MMP13
Hesperidin,D0I9HF,MMP12
Hesperidin,D0I9HF,ADORA2B
Hesperidin,D0I9HF,ADORA3
Hesperidin,D0I9HF,IMPDH1
Hesperidin,D0I9HF,TAS2R31
Hesperidin,D0I9HF,CHIA
Hesperidin,D0I9HF,CA7
Hesperidin,D0I9HF,CA4
Hesperidin,D0I9HF,CA14
Hesperidin,D0I9HF,EIF4A1
Hesperidin,D0I9HF,TERT
Hesperidin,D0I9HF,BAX
Hesperidin,D0I9HF,CASP3
Hesperidin,D0I9HF,ICAM1
Hesperidin,D0I9HF,VCAM1
Hesperidin,D0I9HF,CAMK4
Hesperidin,D0I9HF,BACE1
Hesperidin,D0I9HF,NFKB1
Hesperidin,D0I9HF,NOS2
Hesperidin,D0I9HF,PCNA
Hesperidin,D0I9HF,TNF
Hesperidin,D0I9HF,BCL2
Honokiol,D04DQJ,ALOX5
Honokiol,D04DQJ,CNR1
Honokiol,D04DQJ,CNR2
Honokiol,D04DQJ,CA2
